序号,报告页,疑似率,字符数,章节,源文件,片段摘录
26,19,84.21%,436,第3章,chapters/chapter3.tex,"，记为Exe（P）。本文将 规划中的动作词映射为标准操作集合，如构图、算法调用、候选枚举、约束校验、结果格 式化等。若规划缺少核心动作，或动作顺序与数据依赖关系冲突，则可执行性评分下降。 综合三项指标，规划质量总分可表示为Score(P)=αCov(P)+βCon(P)+γExe(P)其中 α+β+γ= 1。 该评分具有两方面作用。在离线分析中，它帮助解释不同样例的失败来源。例如，某些样 例并非编码能力不足，而是规划覆盖率偏低，导致后续链路从一开始就缺少关键约束。在 运行过程中，它也可以作为回退触发信号：当Score(P)低于阈值时，方法流程优先请求规 划重写，而不是直接进入代码生成。这样，规划质量评价成为连接方法设计和反馈修正的 重要桥梁。 规划引导的知识检索与程序生成方法规划生成之后，系统需要将求解语义落到可执行实现上。对于 图推理任务而言，外部知识的作用不仅是补充背景事实，更重要的是提供稳定的图算法接口、参数 含义和返回格式说明。本节介绍如何构建图算法知识库，如何利用规划引导检索，以及如何将规划 和知识共同映射为候选程序。 图算法知识库构建为降低模型仅依赖参数记忆导致的实现不稳定，本文构建了面向图计算的外部知 识库。知识库条目主要来自图算法库文档、常见任务说明和接口示例。每个知识条目可表示为k_(i)= {name_(i),desc_(i),input_(i),output_(i),example_(i),tag_(i),strip_(i)}其中 name_（i） 表示函数或 算法名称，desc_（i） 表示功能描述，input_（i） 和output_（i） 分别表示参数与返回值说明 ，example_（i）表示简要调用示例，tag_（i） 表示任务类型、图属性和适用约束标签 ，strip_（i）表示从原始条目中拆分出的细粒度知识片段。这里的知识片段主要围绕适用图类型、 关键参数含义、返回结果结构、约束检查要点等信息组织，使检索阶段不必将整段文档原样送入编 码阶段，而可以按规划步骤重新组合更紧凑的实现依据。"
27,19,78.24%,226,第3章,chapters/chapter3.tex,示例，tag_（i） 表示任务类型、图属性和适用约束标签 ，strip_（i）表示从原始条目中拆分出的细粒度知识片段。这里的知识片段主要围绕适用图类型、 关键参数含义、返回结果结构、约束检查要点等信息组织，使检索阶段不必将整段文档原样送入编 码阶段，而可以按规划步骤重新组合更紧凑的实现依据。 84.21% (436字符) 知识库覆盖了多类常见图算法与图任务，包括最短路径、连通性判定、最小生成树、最大 流、匹配、拓扑排序、团与独立集、旅行商问题以及部分动态图处理方法。对于已经较为 成熟的算法，知识条目主要记录可调用API、输入参数格式和返回结果结构；对于组合优化 类任务，知识条目还会补充可行解检查方法和目标函数计算方式。所有知识条目在向量化 后写入检索索引，同时保留任务标签和算法标签，用于后续候选结果的过滤与重排序。 需要说明的是，知识库并不承担替代规划的作用。知识库提供的是实现依据、API选择线索和约束检 查信息，而规划负责确定当前任务应采用的求解思路和步骤顺序。如果直接使用原始问题进行检索
28,20,81.66%,326,第3章,chapters/chapter3.tex,"如，构建带权 无向图并计算从源点到终点的最短路径会被拆解为weighted graph、shortest path、 source target、path length等检索要素；旅行商规划中的枚举哈密顿回路并最小化总代价 则会转化为traveling salesman、Hamiltonian cycle、cycle cost、minimum route等检索 要素。第二步是结合图属性补充查询标签，如directed、weighted、capacity、 temporal等。第三步是将上述要素组合为更接近文档表达的检索文本。 这种查询构造策略的本质是语义压缩。自然语言问题中可能包含故事背景、变量解释和输出说明 ，但真正决定API选择的是任务类型、图属性和算法动作。通过规划压缩，检索器更容易命中与实现 相关的知识条目。第五章中的检索质量实验将验证，不同查询表达方式在Hit@k 和 MRR 指标上存在 明显差异，规划查询能够显著改善知识命中效果。 知识重排序、质量评估与纠偏筛选检索得到候选知识后，系统还需要结合规划进行重排序和筛选。 设候选知识条目为k_（i），其语义向量相似度为 s_（sem）（P，k_（i）），标签匹配得分为 s_（tag）（T，k_（i）），约束一致性得分为s_（cons）（P，k_（i）），则综合得分可表示为 s(P,T,k_(i))=λs_(sem)(P,k_(i))+λs_(tag)(T,k_(i))+λs_(cons)(P,k_(i))其中 λ+λ+λ=1。"
29,20,85.16%,531,第3章,chapters/chapter3.tex,"关的知识条目。第五章中的检索质量实验将验证，不同查询表达方式在Hit@k 和 MRR 指标上存在 明显差异，规划查询能够显著改善知识命中效果。 知识重排序、质量评估与纠偏筛选检索得到候选知识后，系统还需要结合规划进行重排序和筛选。 设候选知识条目为k_（i），其语义向量相似度为 s_（sem）（P，k_（i）），标签匹配得分为 s_（tag）（T，k_（i）），约束一致性得分为s_（cons）（P，k_（i）），则综合得分可表示为 s(P,T,k_(i))=λs_(sem)(P,k_(i))+λs_(tag)(T,k_(i))+λs_(cons)(P,k_(i))其中 λ+λ+λ=1。 81.66% (326字符) 语义相似度用于衡量知识条目与规划文本的整体相关性；标签匹配用于判断知识条目是否适用于当 前图属性和任务族；约束一致性则用于排除可能导致实现偏差的条目。例如，若任务明确要求有向 图上的最短路径，则无向图专用或忽略方向的说明应被降权；若任务涉及容量约束，则普通边权路 径算法不能被误作为最大流算法；若任务要求返回节点集合，则只返回数值目标的接口说明需要额 外补充格式化逻辑。 仅有重排序还不够。对于图推理任务，如果检索结果与规划步骤只存在表面语义相似，而未覆盖关 键约束或返回结构，编码阶段仍可能在API选择和参数组织上出现偏差。为此，本文引入检索质量评 估机制，对候选知识集合是否足以支撑当前规划进行显式判断。为避免与前述排序权重混淆，质量 评估阶段使用μ 表示各评价项权重。设规划共有 |P|个关键步骤，其中被候选知识覆盖的步骤比例为 Cov_（step）（K，P），关键约束覆盖比例为Cov_（cons）（K，P），候选知识之间的冗余度为 Red（K），则检索质量得分定义为RQ(K|P,T)=μmax_(k_(i)∈K)s(P,T,k_(i))+μCov_(step)(K,P)+ μCov_(cons)(K,P)−μRed(K)其中μ+μ+μ+μ=1。该得分不仅衡量最高相关条目的质量，还同时考虑 规划步骤是否被充分支撑、约束信息是否完整以及候选上下文是否存在明显噪声。"
30,21,79.30%,288,第3章,chapters/chapter3.tex,"n实现，并优先调用成熟图计算库完成核心算法 。编码阶段需要满足两个要求：一是忠实执行规划步骤，二是尽量使用检索知识中提供的 接口和参数说明，减少模型凭经验随意实现造成的错误。 为了提高映射稳定性，本文将规划到程序的转换显式建模为两阶段过程。第一阶段是从线 性规划到操作图。系统将伪代码步骤p_（i） 映射为操作节点 o_（i），并建立依赖边 e_（ij）表示数据依赖和执行顺序，形成_(P)=(,)其中，包含构图、算法调用、候选枚举、 约束检查和结果整理等节点类型。操作图能够显式表示哪些步骤必须先执行，哪些步骤可 以作为独立检查点，进而降低代码组织混乱的风险。 第二阶段是从操作图到程序骨架。系统为不同类型的操作节点分配相应模板片段，例如图初始化、 边权读取、算法调用、异常处理、可行性检查和输出封装，再按照依赖关系组织为候选程序。这样 ，即使模型在局部实现细节上出现偏差，整体程序结构仍受规划约束，不容易出现严重顺序错误。 此外，本文引入约束绑定机制，将规划中的关键约束绑定到程序中的检查点。例如，哈密顿路径或 旅行商任务会在结果检查阶段插入节点覆盖完整、节点不重复、路径闭合和代价与边权一致等检查 ；最大流任务会绑定容量字段和源汇点约束；动态图任务会绑定时间过滤逻辑。通过约束绑定，规 划中的语义不再停留在文字层面，而是转化为程序中的可验证条件。"
31,25,78.30%,232,第3章,chapters/chapter3.tex,于这些依赖关系被记录下来，系统在出现 错误后可以选择局部修复、补充检索或重新规划，而不是每次都无差别地重新生成全部内 容。 规划模板库设计为了使规划生成在不同数据集和任务类型上保持相对一致，本文设计了一 个轻量级规划模板库。该模板库并不保存具体问题的标准答案，而是针对不同任务族提供 基本的动作骨架，用于约束规划结果至少包含必要的求解环节。根据任务目标和约束形式 ，本文将常见图推理任务划分为路径类、连通与可达类、匹配与流类、组合优化类以及动 态图类。 不同任务族对应的规划重点有所差异。路径类任务通常需要依次处理图构建、起点和终点解析、路 径算法调用、路径合法性检查以及代价计算。连通与可达类任务更关注图构建、连通分量计算或遍 历过程、目标节点可达性判断以及布尔结果输出。匹配与流类任务需要明确容量约束或配对约束 ，并进一步完成核心算法调用、可行性检查和目标值输出。组合优化类任务一般包含候选解生成、 约束过滤、目标函数计算和最优解选择等步骤。动态图类任务则需要在上述基础上额外处理时间窗 口过滤、事件序列更新和时序约束检查。
32,25,79.65%,306,第3章,chapters/chapter3.tex, ，本文将常见图推理任务划分为路径类、连通与可达类、匹配与流类、组合优化类以及动 态图类。 不同任务族对应的规划重点有所差异。路径类任务通常需要依次处理图构建、起点和终点解析、路 径算法调用、路径合法性检查以及代价计算。连通与可达类任务更关注图构建、连通分量计算或遍 历过程、目标节点可达性判断以及布尔结果输出。匹配与流类任务需要明确容量约束或配对约束 ，并进一步完成核心算法调用、可行性检查和目标值输出。组合优化类任务一般包含候选解生成、 约束过滤、目标函数计算和最优解选择等步骤。动态图类任务则需要在上述基础上额外处理时间窗 口过滤、事件序列更新和时序约束检查。 78.30% (232字符) 模板库在使用时采用软约束方式。规划智能体可以根据具体题目补充或调整步骤，但如果规划结果 缺少对应任务族中的关键动作，系统会给出质量告警，并要求重新生成规划。这样做可以保留大语 言模型处理复杂自然语言问题时的灵活性，同时避免规划结果过于松散。对于长尾任务或表述较复 杂的样例，模板库能够提供相对稳定的求解骨架，从而减少关键步骤被遗漏的情况。 模板库也支持组合式调用。当一个任务同时包含多种属性时，例如动态图上的最短路径，或带容量 约束的路径选择，系统可以将主任务模板与属性子模板组合起来，生成复合规划。通过这种方式 ，本文不需要为每一个细分任务单独设计完整模板，也能覆盖更多任务变体，从而提高方法在不同 图推理场景中的迁移能力。
33,26,81.50%,355,第3章,chapters/chapter3.tex,划反馈流程，而不需要改变方法主体。 方法适用性与泛化性分析规划反馈方法的优势主要来自结构化分解和执行验证，但它并不 适用于所有情形。对于极简单的图查询，例如只需读取节点度数或判断一条边是否存在的 任务，分阶段规划、检索和验证可能带来不必要的调用开销。此时，直接程序生成或简单 规则解析已经能够稳定解决问题，完整规划反馈流程的收益相对有限。 对于知识库覆盖不足的长尾算法，规划反馈方法也可能受到限制。规划能够指出需要解决 的问题，但若外部知识库缺少对应API、算法说明或实现示例，检索阶段就无法为编码提供 充分支持。此时系统仍可依赖模型内部知识生成程序，但稳定性会下降。因此，知识库覆 盖范围和条目质量会影响该方法在长尾任务上的表现。 执行反馈的有效性还取决于任务是否具有可验证条件。最短路径、最大流、匹配、旅行商等任务通 常具备明确的可行性或最优性检查，因此适合采用程序执行反馈；而某些需要复杂数学证明、开放 式解释或难以自动判定正确性的任务，反馈信号可能不够充分。在这类任务中，系统需要额外引入 人工标注、符号验证或更强的判定器。 从时间复杂度和调用成本看，规划反馈方法相比端到端生成引入了额外阶段。设规划、检索、编码 和验证的平均开销分别为c_（p）、c_（r）、c_（c） 和 c_（v），平均修复轮数为t，则单个样例 的近似开销可表示为C_(pf)≈c_(p)+c_(r)+c_(c)+t(c_(v)+c_(fix))其中 c_(fix)表示单轮修复开销。该开 销高于一次性生成，但换来了更强的错误可观测性和可恢复性。因此，本文在第五章同时报告精确 匹配率、稳定性和效率指标，以展示方法收益与计算代价之间的关系。
34,26,79.26%,285,第3章,chapters/chapter3.tex,具有可验证条件。最短路径、最大流、匹配、旅行商等任务通 常具备明确的可行性或最优性检查，因此适合采用程序执行反馈；而某些需要复杂数学证明、开放 式解释或难以自动判定正确性的任务，反馈信号可能不够充分。在这类任务中，系统需要额外引入 人工标注、符号验证或更强的判定器。 从时间复杂度和调用成本看，规划反馈方法相比端到端生成引入了额外阶段。设规划、检索、编码 和验证的平均开销分别为c_（p）、c_（r）、c_（c） 和 c_（v），平均修复轮数为t，则单个样例 的近似开销可表示为C_(pf)≈c_(p)+c_(r)+c_(c)+t(c_(v)+c_(fix))其中 c_(fix)表示单轮修复开销。该开 销高于一次性生成，但换来了更强的错误可观测性和可恢复性。因此，本文在第五章同时报告精确 匹配率、稳定性和效率指标，以展示方法收益与计算代价之间的关系。 81.50% (355字符) 综合来看，规划反馈方法更适用于三类特征同时较为明显的图推理任务：任务具有清晰的结构约束 ，结果可以通过程序或规则进行验证，并且算法实现本身具有一定复杂度。对于这类任务，规划可 以减少求解路线的随机性，检索可以补充API和算法实现知识，执行反馈则可以及时暴露程序错误或 约束遗漏，避免错误在后续阶段继续累积。对于过于简单，或缺少明确验证标准的任务，是否启用
35,27,79.65%,297,第3章,chapters/chapter3.tex,、修复轮数、运行开销和错误类 型，判断规划反馈机制在不同任务条件下是否真正发挥作用。 本章小结本章围绕基于规划反馈的图推理求解方法进行了说明。该方法先将自然语言形式 的图推理任务转换为结构化任务表示，并在此基础上生成算法级伪代码规划；随后，系统 利用规划结果约束外部知识检索和候选程序生成；最后，通过程序执行和结果检查获得反 馈，并据此触发局部修复、补充检索或规划重写。相比端到端直接生成答案的方式，该方 法通过中间语义表示拆分任务理解、算法选择和程序实现过程，降低了一次性联合生成的 难度，同时利用执行反馈及时发现并修正错误，减少错误在后续阶段中的继续传递。 本章重点讨论的是方法层面的求解范式和关键机制。下一章将介绍基于黑板调度的多智能体图推理 协同框架，说明上述方法如何在框架中完成调度、工件管理、异常恢复和任务扩展。 基于黑板调度的多智能体图推理协同框架上一章主要从方法原理角度说明 PlanGraph如何把图推理 任务拆分为规划、检索、验证和反馈推理等阶段。本章进一步讨论系统实现问题，重点说明该方法 在实际运行时如何被组织成一个可调度、可恢复、可追踪且可复现的多智能体协同框架。与第三章 侧重解释求解流程的设计原因不同，本章更关注这一流程如何被稳定执行。因此，本章不再重复各 模块的算法功能，而是围绕主控调度、共享黑板、中间工件、执行控制、缓存复现和任务适配等运 行机制展开。
36,28,80.80%,346,第4章,chapters/chapter4.tex,基于上述目标，PlanGraph在系统实现上采用以主控调度器为中心、以共享黑板和工件链 为支撑的多智能体协同框架。系统接收自然语言问题和图结构输入，在输出最终答案的同 时，保留对应的中间工件、运行日志和恢复轨迹。其设计重点并不是让各角色进行自由交 互，而是在职责边界明确的基础上，把第三章提出的规划反馈方法落实为可控制、可记录 的执行过程。围绕这一目标，后续各节将从架构与调度、工件与恢复、复现与扩展三个方 面展开说明，并为第五章的实验结果提供实现层面的支撑。 框架架构与协同调度机制本节围绕 PlanGraph的系统组织方式展开，重点说明系统如何从总体架构 、主控调度和黑板事件三个层面支撑多智能体协同。与第三章中按方法模块展开的叙述不同，本节 关注运行期的控制关系：系统如何接收任务、如何推进阶段、如何记录事件，以及如何在失败时选 择下一步动作。 框架总体架构多智能体系统的一种直接实现方式是让不同角色通过自然语言彼此对话，由模型自行 决定何时规划、何时检索、何时修复。然而，在图推理场景中，这种方式存在明显风险：一方面 ，角色之间可能重复承担同一职责，例如规划智能体和编码智能体都试图重新解释任务；另一方面 ，当程序执行失败时，系统难以判断应当回到规划阶段、检索阶段还是编码阶段。为避免这类控制 流不稳定问题，PlanGraph将全局流程交由主控调度器统一管理，各角色智能体只负责本阶段的局 部任务。
37,28,78.32%,233,第4章,chapters/chapter4.tex,度层、多智能体执行层 以及共享状态与支撑资源层。输入与任务建模层负责接收自然语言问题和图结构信息；主 控调度层负责推进阶段、检查状态并决定失败后的恢复动作；多智能体执行层包含问题智 能体、规划智能体、检索智能体、编码智能体和推理智能体；共享状态与支撑资源层则提 供黑板、工件存储、知识库、执行器和缓存等基础设施。与第三章中的方法流程图相比 ，本图更强调运行期控制关系，即调度器如何组织各角色协同、如何保存阶段状态，以及 框架如何在失败后进入受控恢复路径。 在具体实现中，调度器不负责生成具体内容，而是维护当前样例的运行状态、已有工件以及剩余恢 复预算。各角色智能体被调用时，只读取本阶段所需的信息。例如，规划智能体读取结构化任务表 示，检索智能体读取规划结果和任务标签，编码智能体读取规划与知识条目，推理智能体读取候选 程序和验证反馈。阶段任务完成后，智能体将生成结果写入工件存储，并在共享黑板中记录相应事 件。采用这种方式后，角色之间不需要直接互相调用，也不需要各自维护复杂的私有上下文；系统 中的协作关系由调度器和黑板统一管理。
38,32,79.13%,270,第4章,chapters/chapter4.tex,，验证样例会覆盖时间窗口和事件顺序。 以旅行商任务中的一次失败恢复为例，系统会先完成任务解析和规划，再依据规划结果召回相关知 识并生成候选程序。若首轮验证发现程序在读取边信息时缺少必要字段，调度器会将该错误归入图 构建或API使用问题，并选择二次检索与局部修复路径。二次检索时，系统会把错误类型和报错摘要 加入查询条件；推理智能体则在不改变原始规划的前提下，重点修复图构建部分的实现逻辑。修复 后的程序重新进入验证阶段，只有当路径闭合、节点覆盖和代价计算均通过检查后，系统才会进入 答案输出阶段。这个过程表明，PlanGraph中的反馈并不是让模型重新自由尝试，而是利用执行器 给出的外部信号来驱动检索和修复。
39,32,80.57%,335,第4章,chapters/chapter4.tex,过检查后，系统才会进入 答案输出阶段。这个过程表明，PlanGraph中的反馈并不是让模型重新自由尝试，而是利用执行器 给出的外部信号来驱动检索和修复。 79.13% (270字符) 从运行机制看，这一闭环还可以限制失败信息的传播范围。若候选程序只是出现API参数错 误，系统不会把整个任务重新交给模型生成，而是将错误整理为结构化反馈，并与原规划 、原检索知识一起提供给修复阶段。这样既保留了前序阶段已经确定的求解意图，又能针 对真实报错进行局部调整。对于图推理任务而言，这种保留稳定部分、修复局部偏差的策 略较为重要，因为很多失败并不是任务方向完全错误，而是来自图字段组织、边权读取、 约束检查或输出格式等实现细节。 该闭环机制也说明了第四章与第三章的分工。第三章关注规划、检索和验证作为方法模块如何提升 求解质量；本节关注这些模块在系统运行时如何被调度器连接成可恢复的执行链路。换言之，系统 实现的重点不是重复论证规划为什么有效，而是确保规划、知识和反馈能够以稳定的数据结构流动 ，并在失败时形成明确的恢复路径。 执行控制与异常恢复由于 PlanGraph采用程序化求解，系统可靠性不仅取决于语言模型生成质量 ，还取决于运行时能否安全执行候选程序、识别失败类型并及时终止错误分支。图推理程序可能包 含组合搜索、图遍历、路径枚举或动态更新等操作，若缺少执行控制，错误程序可能出现异常退出 、无限搜索、输出格式不规范或资源占用过高等问题。因此，PlanGraph将执行控制设计为系统可 靠性的独立组成部分，而不是简单地把程序交给解释器运行。
40,33,79.21%,274,第4章,chapters/chapter4.tex,到输出格式约束影响。第五章中的误差分析正是基 于这类结构化运行记录展开的。 异常恢复机制还体现了系统层面对“正确性”和“可用性”的折中。对于部分组合优化任 务，严格验证可能增加执行次数和反馈轮数，但它能够减少表面可运行、实际不满足约束 的答案；对于部分简单结构查询任务，系统则可以在首次验证通过后直接输出，避免不必 要的修复开销。因此，恢复策略并不是固定地追求更多轮次，而是在错误类型、恢复预算 和任务复杂度之间做受控选择。这种选择由调度器执行，而不是由单个智能体临时决定 ，以保证不同样例之间的运行策略具有一致性。 执行控制并不能保证所有失败都能被自动修复。对于规划阶段已经遗漏核心约束、知识库缺乏相关 算法条目或任务本身需要复杂长尾搜索的样例，局部修复可能只能缓解部分实现错误。因此，本文 将异常恢复定位为提高系统稳定性与可诊断性的机制，而不是保证所有样例必然成功的万能策略。 这种边界说明也使系统设计更符合工程实践。 框架配置管理与任务扩展机制前两节分别说明了系统的调度方式和反馈恢复机制，本节讨论 PlanGraph如何在工程层面控制运行开销、管理关键配置，并支持新任务扩展。对于硕士学位论文 而言，这部分内容的重点不是展示复杂工程接口，而是说明系统实现如何支撑后续实验比较和方法 迁移。
41,33,78.25%,212,第4章,chapters/chapter4.tex,保证所有样例必然成功的万能策略。 这种边界说明也使系统设计更符合工程实践。 框架配置管理与任务扩展机制前两节分别说明了系统的调度方式和反馈恢复机制，本节讨论 PlanGraph如何在工程层面控制运行开销、管理关键配置，并支持新任务扩展。对于硕士学位论文 而言，这部分内容的重点不是展示复杂工程接口，而是说明系统实现如何支撑后续实验比较和方法 迁移。 79.21% (274字符) 运行开销与缓存优化多智能体协同和验证反馈会引入额外的运行开销。与直接生成答案的方法相比 ，PlanGraph需要依次完成任务解析、规划生成、知识检索、代码生成、执行验证以及必要的反馈 修复，因此系统实现不能只关注准确率，也需要控制调用成本和执行时延。如果单纯增加智能体数 量或放宽修复轮数，部分样例的成功率可能会提高，但整体运行成本也会随之上升。基于这一考虑 ，本节从开销来源、缓存优化和配置管理三个方面说明PlanGraph 如何在保证求解质量的同时控制 工程代价。
42,35,78.73%,258,第4章,chapters/chapter4.tex,"的作用，就是将不同图任务的语义映射到统一主 流程中。 从抽象形式看，任务适配器可表示为_(task)={τ,_(tag),,_(alg),_(tpl),_(rule)}其中，τ 表示任 务类型，_（tag） 表示图结构标签，表示关键约束集合，_（alg） 表示候选算法族 ，_（tpl） 表示规划模板，_（rule）表示验证规则集合。该形式化表示并不是为了增加额 外算法复杂度，而是为了说明任务适配器在系统中的位置：它位于任务理解和主流程调度 之间，用于把具体任务语义转化为后续阶段可消费的结构化条件。 具体而言，任务适配器并不直接给出答案，而是描述某类任务的图类型、目标类型、输出形式、关 键约束、算法族和验证规则。以旅行商任务为例，适配器会声明该任务通常属于带权无向图，目标 类型为组合优化，输出形式为路径，关键约束包括访问每个节点一次、回到起点和最小化总代价 ；对应算法族可包括旅行商问题、哈密顿回路和组合枚举；验证规则则包括路径是否闭合、是否覆 盖全部节点、路径边是否合法以及总代价是否与边权一致。通过这些适配信息，规划模块能够生成 更完整的动作序列，检索模块能够构造更聚焦的查询，验证模块也能够执行更有针对性的约束检查 。"
43,36,80.29%,330,第4章,chapters/chapter4.tex,求解或静态分析时，只要保持验证工件 结构一致，调度器也不需要改变。由此，PlanGraph的可扩展性来自主调度流程、任务适 配器和验证规则之间的职责分离。 本章小结本章从系统实现角度对 PlanGraph进行了展开。与第三章侧重方法原理不同，本 章重点说明了规划、检索、编码和验证等模块在真实运行中如何被组织为稳定的多智能体 协同框架。首先，系统通过总体架构和黑板调度机制明确各角色的职责边界、状态转移方 式和事件记录规则。其次，系统利用中间工件管理与反馈恢复机制，支持失败归因、过程 回放、局部修复和异常控制。最后，系统通过缓存机制、显式配置、运行产物管理和任务 适配器，保证实验过程可以复现，并为后续任务扩展提供实现基础。 总体而言，PlanGraph的系统价值不在于简单增加智能体数量，而在于将多智能体协作约束在可观 察、可恢复和可复现的运行框架中。上述系统机制共同构成第五章实验验证的基础，也说明本文方 法不仅具有概念上的合理性，而且具备落地为稳定图推理系统的工程条件。 实验验证与结果分析实验设计与设置本章围绕方法是否有效、机制是否成立、系统代价是否可接受 三个层面展开实验验证。考虑到本文提出的是一种基于规划反馈的多智能体图推理协同求解方法 ，实验设计不仅需要比较总体精确匹配率，还需要从任务类型、知识检索质量、参数预算、工程开 销与输入扰动鲁棒性等角度对方法行为进行拆解分析。基于这一思路，本章先说明实验目标、数据 集与实验设置，再从方法性能评估、机制验证与运行特性分析以及案例分析三个方面展开结果讨论 。
44,38,77.10%,111,摘要,chapters/abstract.tex,是否能够依据规划 调用合适的图算法API；约束满足能力则用于评估路径、匹配和时间窗口等关键约束的达成 情况。这些观察维度虽然不直接纳入统一表格统计，但对理解PlanGraph 性能来源具有重 要意义。 方法性能评估总体性能分析 表5.1给出了 PlanGraph 在统一评测集合上的总体精确匹配率结果，其中任务数表示本文实际纳入主实验统计的任务类别数 量。PlanGraph在五个基准测试集中有四个取得最优结果，在其余一个基准测试集上保持竞争力
45,39,80.15%,281,第5章,chapters/chapter5.tex, 98.74 +0.41平均– 56.86 95.23 94.51 97.66 +2.12从具体结果看，PlanGraph 在 GraphWiz 上提升最为明显，较 GCoder 提升 6.81个百分点。这意味着在算法约束较强、路径搜索更复杂的任务中，规划反 馈闭环能够较明显地减少直接生成带来的错误。PlanGraph在 GraphArena 和 NLGraph上 也取得了稳定提升，反映出本文方法对经典图算法和自然语言图问题都具备较强适配性。 在 LLM4DyG 上，PlanGraph 与最佳方法相差 0.24个百分点，结果略低于最优值，但整体仍具有竞 争力。这一差距说明，动态时序信息会给规划生成和程序实现带来额外难度，例如时间窗口筛选、 事件顺序维护和动态图状态更新等环节仍可能影响最终结果，因此后续仍有进一步优化空间。 从不同基线的表现差异来看，GPT-4o直接推理在各个基准测试集上均明显低于程序生成式方法和多 智能体方法，说明图推理任务较依赖外部结构化求解能力。GraphTeam和 GCoder 已经取得较高性 能，而 PlanGraph仍能在四个基准测试集上继续提升结果，表明仅依赖多智能体分工或代码生成并 不充分。对于复杂图任务，规划、知识检索和执行验证之间是否形成有效配合，同样会影响最终求 解质量。
46,40,78.36%,236,第5章,chapters/chapter5.tex,法的优势进一步扩大，说明规 划先行与执行验证机制对大搜索空间下的稳定求解具有更明显作用。 综合图5.2和图5.3，可以归纳出以下结论：PlanGraph的性能收益主要来源于复杂任务场景 ，而非简单任务上的边际提升。在非 NP完全任务和简单样本上，方法间差距较小；当任务 进入 NP完全或困难样本区间后，规划、检索与验证模块的协同作用开始更加明显。两个分 层结果中逐步扩大的性能差距也支撑了本文的方法定位：面向高约束图推理任务，优先提 升求解过程的可执行性、约束一致性与稳定性，而不是单纯追求单轮生成速度。 机制验证与运行特性分析第四章已经从系统实现角度说明了规划、检索与验证之间的协作方式。本 节不再重复系统流程，而是通过若干补充实验考察这些机制在实验层面的实际作用。本文依次观察 重复运行稳定性、不同检索查询方式的知识命中质量、关键参数组合的变化趋势、系统的工程开销 、输入扰动下的鲁棒性表现以及关键模块消融结果，以分析性能收益与规划、检索、验证三类机制 之间的对应关系。其中，检索质量相关实验也用于验证第三章提出的检索质量评估与纠偏筛选机制
47,42,79.79%,302,第5章,chapters/chapter5.tex,.81.11.3最大流14.61.31.8旅行商问题 24.31.82.7： 不同任务上的平 均推理开销 从表 5.4可以看出，不同任务的工程开销差异较明显。最短路径问题的结构相对清楚，算法 接口也较成熟，因此规划、检索和验证过程通常较为顺畅。最大流任务需要处理容量约束 和残量网络，程序实现中涉及的状态更新更多，平均验证次数因此有所增加。旅行商问题 还需要显式处理组合搜索、节点覆盖、回路闭合和可行性判断，因而整体耗时和验证次数 最高。这一结果与前文的性能分析相一致：任务越依赖复杂约束满足，规划反馈框架越容 易发挥作用，但同时也会带来更高的推理、检索和验证成本。 然而，这一额外开销并非单纯的系统负担。对于组合优化问题，如果缺乏验证环节，系统虽然可以 更快给出答案，但错误率通常会显著升高；而加入验证后，即便存在更多程序执行步骤，整体输出 质量和可信度却显著提升。就本文研究目标而言，本文更强调可靠地完成图推理，而非追求最低时 延响应，因此以一定推理开销换取更高精确匹配率和结果可信度是合理的设计选择。 鲁棒性分析除标准基准测试集外，本文还在输入扰动设置下考察 PlanGraph的表现，以分析框架对 问题表述变化的稳定性。该实验覆盖五个基准测试集，并构造了三种常见扰动：节点顺序随机打乱 、边列表描述改写、输出要求从自然语言答案改为结构化列表。在相同求解任务下比较精确匹配率 变化，结果如表5.5所示。
48,43,79.75%,308,第5章,chapters/chapter5.tex,型更容 易在算法选择、边权处理、方向判断或输出格式控制等环节出现偏差。 去除验证模块后，系统性能也出现了较大下降，尤其在 GraphWiz 上从 97.01%降至 90.72%。程序执行反馈对于纠正代码错误的作用在这里体现得比较直接。即使规划与检索 都较为合理，编码阶段仍可能出现参数名错误、函数选型偏差和边界条件遗漏；若没有执 行闭环，这些问题将直接影响最终答案。 检索模块带来的性能提升相对温和，但依然稳定。本文认为，规划模块解决的是任务目标 与求解方向的问题，检索模块解决的是实现依据是否充分的问题，验证模块则负责检查结 果是否满足要求。三者共同构成了PlanGraph 的完整求解闭环。 从三个消融变体的结果中还可以看到，规划模块的作用并不只体现在精确匹配率上。它同时为检索 和验证提供了相对稳定的中间锚点。移除规划模块后，检索阶段只能依赖原始问题构造查询，验证 阶段也缺少明确的目标约束，系统更容易退化为围绕原始问题反复生成和修补代码的过程。在这种 情况下，错误来源会变得更加分散，算法选择偏差、约束遗漏和输出格式错误都可能增加。 检索模块带来的数值提升虽然略低于规划模块和验证模块，但它对跨任务泛化仍然重要。对于一些 出现频率较低或接口细节较复杂的图任务，模型内部知识未必足以支持稳定的函数选择和参数使用 。规划引导检索可以为程序生成阶段补充更明确的API 说明、算法描述和实现依据，从而降低代码生 成中的工具误用风险。
